,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$53K-$91K (Glassdoor est.),Job Description,3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1
1,Healthcare Data Scientist,$63K-$112K (Glassdoor est.),Job Description,3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
2,Data Scientist,$80K-$90K (Glassdoor est.),Job Description,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1
3,Data Scientist,$56K-$97K (Glassdoor est.),Job Description,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
4,Data Scientist,$86K-$143K (Glassdoor est.),Job Description,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee"
5,Data Scientist,$71K-$119K (Glassdoor est.),Job Description,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix"
6,Data Scientist,$54K-$93K (Glassdoor est.),Job Description,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
7,Data Scientist,$86K-$142K (Glassdoor est.),Job Description,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
8,Research Scientist,$38K-$84K (Glassdoor est.),Job Description,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1
9,Data Scientist,$120K-$160K (Glassdoor est.),Job Description,4.6,"<intent>
4.6","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel"
10,Data Scientist,$126K-$201K (Glassdoor est.),Job Description,3.5,"Wish
3.5","San Jose, CA","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1
11,Data Scientist,$64K-$106K (Glassdoor est.),Job Description,4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
12,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),Job Description,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon"
13,Data Analyst,$46K-$85K (Glassdoor est.),Job Description,4.1,"Yesler
4.1","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
14,Data Scientist,$83K-$144K (Glassdoor est.),Job Description,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer"
15,Data Engineer I,$102K-$190K (Glassdoor est.),Job Description,3.6,"Audible
3.6","Newark, NJ","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1
16,"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),Job Description,3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene"
17,Customer Data Scientist,$118K-$189K (Glassdoor est.),Job Description,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
18,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),Job Description,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
19,Data Scientist,$64K-$111K (Glassdoor est.),Job Description,4,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1
20,Data Scientist,$81K-$130K (Glassdoor est.),Job Description,3.2,"Porch
3.2","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack"
21,Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),Job Description,3.9,"Health IQ
3.9","Dallas, TX","Mountain View, CA",201 to 500 employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1
22,Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),Job Description,3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID",501 to 1000 employees,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1
23,Data Scientist,$63K-$105K (Glassdoor est.),Job Description,4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA",51 to 200 employees,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1
24,Data Scientist,-1,Job Description,3.9,"Mars
3.9",Oregon,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
25,Data Scientist,$109K-$177K (Glassdoor est.),Job Description,4,"Novetta
4.0","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
26,Digital Health Data Scientist,$63K-$110K (Glassdoor est.),Job Description,4,"Pfizer
4.0","Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
27,Data Scientist,$75K-$124K (Glassdoor est.),Job Description,3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1
28,Associate Data Analyst,$34K-$61K (Glassdoor est.),Job Description,3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1
29,Clinical Data Scientist,$63K-$105K (Glassdoor est.),Job Description,4,"Pfizer
4.0","Groton, CT","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
30,Data Scientist,$80K-$90K (Glassdoor est.),Job Description,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1
31,Data Scientist,$56K-$97K (Glassdoor est.),Job Description,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
32,Data Scientist,$72K-$120K (Glassdoor est.),Job Description,3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1
33,Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),Job Description,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
34,Data Scientist,$93K-$149K (Glassdoor est.),Job Description,3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1
35,Data Scientist,$85K-$140K (Glassdoor est.),Job Description,4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina"
36,Web Data Analyst,$77K-$135K (Glassdoor est.),Job Description,4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
37,Data Scientist,$82K-$132K (Glassdoor est.),Job Description,3.5,"Esri
3.5","Redlands, CA","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes
38,Data Scientist,$83K-$137K (Glassdoor est.),Job Description,4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
39,Senior Data Scientist,$115K-$180K (Glassdoor est.),Job Description,3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1
40,Data Engineer,$74K-$138K (Glassdoor est.),Job Description,3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
41,Data Analyst,$64K-$112K (Glassdoor est.),Job Description,4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile"
42,Data Scientist,-1,Job Description,4.1,"Amount
4.1","Chicago, IL","Chicago, IL",201 to 500 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
43,Data Engineer,$68K-$129K (Glassdoor est.),Job Description,3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
44,Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),Job Description,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
45,Scientist,$52K-$113K (Glassdoor est.),Job Description,3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT",5001 to 10000 employees,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel"
46,Senior Data Scientist,$110K-$150K(Employer est.),Job Description,4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust"
47,Data Science Analyst,-1,Job Description,5,"Brightside
5.0","Chandler, AZ","San Francisco, CA",51 to 200 employees,2017,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
48,Data Scientist,Employer Provided Salary:$150K-$160K,Job Description,5,"BPA Services
5.0","Washington, DC","Alexandria, VA",Unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
49,Lead Data Scientist,$158K-$211K (Glassdoor est.),Job Description,3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA",10000+ employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover"
50,Associate Data Analyst,$20K-$39K (Glassdoor est.),Job Description,3.1,"Intrado
3.1","Longmont, CO","Omaha, NE",5001 to 10000 employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1
51,Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),Job Description,4.7,"Centauri
4.7","Beavercreek, OH","Chantilly, VA",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton"
52,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),Job Description,3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial"
53,Data Engineer,-1,Job Description,4.5,"Anson McCade
4.5","Kingdom, IL","London, United Kingdom",51 to 200 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1
54,Data Scientist,$68K-$114K (Glassdoor est.),Job Description,3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL","Fort Lauderdale, FL",501 to 1000 employees,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
55,"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),Job Description,3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm"
56,Data Science Analyst,$41K-$95K (Glassdoor est.),Job Description,4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
57,Data Scientist,$86K-$144K (Glassdoor est.),Job Description,3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR"
58,Data Scientist,$80K-$139K (Glassdoor est.),Job Description,3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
59,Data Scientist,$56K-$95K (Glassdoor est.),Job Description,3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1
60,Data Scientist,$120K-$189K (Glassdoor est.),Job Description,4.1,"Netskope
4.1","San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock"
61,Data Scientist,$111K-$176K (Glassdoor est.),Job Description,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions"
62,Data Scientist,$54K-$93K (Glassdoor est.),Job Description,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
63,Data Scientist,$71K-$119K (Glassdoor est.),Job Description,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix"
64,Business Intelligence Analyst,-1,Job Description,3.1,"Amica Mutual
3.1","Lincoln, RI","Lincoln, RI",1001 to 5000 employees,1907,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
65,Senior Data Scientist,$82K-$132K (Glassdoor est.),Job Description,4.4,"The David J. Joseph Company
4.4","Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1
66,Data Scientist,$84K-$146K (Glassdoor est.),Job Description,4.3,"USEReady
4.3","New York, NY","New York, NY",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
67,Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),Job Description,3.8,"Bill.com
3.8","Palo Alto, CA","Palo Alto, CA",501 to 1000 employees,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1
68,Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),Job Description,3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
69,Data Scientist,-1,Job Description,4.5,"Blue Owl
4.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
70,Data Scientist,$61K-$109K (Glassdoor est.),Job Description,3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA","Coraopolis, PA",10000+ employees,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's"
71,Data Scientist,-1,Job Description,2.2,"Great-Circle Technologies
2.2","Chantilly, VA","Chantilly, VA",1 to 50 employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1
72,Data Scientist,$88K-$148K (Glassdoor est.),Job Description,2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA",51 to 200 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1
73,Data Scientist,$60K-$99K (Glassdoor est.),Job Description,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1
74,Data Scientist,-1,Job Description,4.9,"Avlino
4.9",New Jersey,"Holmdel, NJ",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),-1
75,Data Scientist - Research,$41K-$72K (Glassdoor est.),Job Description,3.1,"C Space
3.1","Boston, MA","Boston, MA",201 to 500 employees,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos"
76,Data Scientist,$96K-$161K (Glassdoor est.),Job Description,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1
77,R&D Data Analysis Scientist,$65K-$130K (Glassdoor est.),Job Description,4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
78,Analytics Consultant,$52K-$81K (Glassdoor est.),Job Description,4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
79,"Director, Data Science",$139K-$220K (Glassdoor est.),Job Description,3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL",10000+ employees,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1
80,Scientist,$50K-$102K (Glassdoor est.),Job Description,2.7,"EAG Laboratories
2.7","Maryland Heights, MO","San Diego, CA",501 to 1000 employees,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1
81,Data Scientist SR,$85K-$139K (Glassdoor est.),Job Description,3.9,"The Buffalo Group
3.9","Charlottesville, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos"
82,Data Scientist,$74K-$122K (Glassdoor est.),Job Description,3.1,"Carmeuse
3.1","Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group"
83,R&D Sr Data Scientist,$99K-$157K (Glassdoor est.),Job Description,4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
84,Customer Data Scientist/Sales Engineer (Bay,$79K-$222K (Glassdoor est.),Job Description,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
85,Research Scientist,$57K-$118K (Glassdoor est.),Job Description,1.9,"GNS Healthcare
1.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1
86,Data Scientist,$83K-$137K (Glassdoor est.),Job Description,3.3,"Peraton
3.3","Chantilly, VA","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1
87,Data Scientist,$86K-$141K (Glassdoor est.),Job Description,4.4,"Pactera
4.4","San Jose, CA","Beijing, China",10000+ employees,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture"
88,Data Scientist,$94K-$154K (Glassdoor est.),Job Description,3.9,"Nurx
3.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1
89,Jr. Business Data Analyst,$37K-$76K (Glassdoor est.),Job Description,4.7,"webfx.com
4.7","Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1
90,Data Scientist,$100K-$160K (Glassdoor est.),Job Description,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman"
91,Data Analyst,$55K-$100K (Glassdoor est.),Job Description,4.3,"Productive Edge
4.3","Chicago, IL","Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom"
92,Data Engineer,$60K-$114K (Glassdoor est.),Job Description,4,"Excella Consulting
4.0","Arlington, VA","Arlington, VA",201 to 500 employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
93,Data Analyst,$39K-$68K (Glassdoor est.),Job Description,4.4,"Gensco
4.4","Tacoma, WA","Tacoma, WA",501 to 1000 employees,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1
94,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),Job Description,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon"
95,Data Scientist,$86K-$142K (Glassdoor est.),Job Description,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
96,Data Scientist,$64K-$107K (Glassdoor est.),Job Description,4.2,"goTRG
4.2","Miami, FL","Miami, FL",501 to 1000 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
97,Data Management Specialist,$31K-$65K (Glassdoor est.),Job Description,4.5,"NMR Consulting
4.5","Huntsville, AL","Chantilly, VA",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
98,Machine Learning Engineer,-1,Job Description,4.9,"Kodiak Robotics
4.9","Mountain View, CA","Mountain View, CA",51 to 200 employees,2018,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
99,E-Commerce Data Analyst,$34K-$62K (Glassdoor est.),Job Description,3.5,"iSeatz
3.5","New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
100,Data Engineer Intern,-1,Job Description,4.7,"ThousandEyes
4.7","San Francisco, CA","San Francisco, CA",201 to 500 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
101,Sr. Scientist II,$117K-$231K (Glassdoor est.),Job Description,3.5,"Nektar Therapeutics
3.5","San Francisco, CA","San Francisco, CA",201 to 500 employees,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Bristol-Myers Squibb, Merck, GlaxoSmithKline"
102,Insurance Data Scientist,$64K-$106K (Glassdoor est.),Job Description,3.9,"TransUnion
3.9","Atlanta, GA","Chicago, IL",5001 to 10000 employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1
103,Data Scientist Analyst,-1,Job Description,4,"Peterson Technology Partners
4.0","Plano, TX","Park Ridge, IL",201 to 500 employees,1997,Contract,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1
104,Data Modeler,$79K-$134K (Glassdoor est.),Job Description,4.7,"IT Concepts
4.7","Landover, MD","Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
105,Data Analyst / Scientist,$52K-$93K (Glassdoor est.),Job Description,4.2,"Scientific Research Corporation
4.2","Patuxent River, MD","Atlanta, GA",1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
106,Scientist,$55K-$116K (Glassdoor est.),Job Description,3.4,"General Dynamics Information Technology
3.4","Suitland, MD","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman"
107,Data Scientist,$72K-$123K (Glassdoor est.),Job Description,3.2,"MITRE
3.2","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC"
108,Data Scientist,$74K-$124K (Glassdoor est.),Job Description,3.9,"The Buffalo Group
3.9","Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos"
109,Data Analyst,$40K-$73K (Glassdoor est.),Job Description,3.1,"DentaQuest
3.1","Milwaukee, WI","Boston, MA",1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MCNA Dental Plans, United Concordia, Delta Dental Plans Association"
110,Lead Data Scientist,$102K-$164K (Glassdoor est.),Job Description,4.1,"Redjack
4.1","Silver Spring, MD","Silver Spring, MD",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
111,"Scientist, Stem Cells and Genomics",-1,Job Description,5,"Alector
5.0","South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
112,Data Scientist,$89K-$153K (Glassdoor est.),Job Description,3.8,"7Park Data
3.8","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1
